Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Premier 5.0+,Pool F,3,Single game,Dialed,Burqueños,Dialed,21,14,,,,,Luke Pennington,Josh Cain,,Luke Freimanis,Daniel Blodgett,
Pool Play,Premier 5.0+,Pool G,3,Single game,Profit Boost,Jersey Boyz,Profit Boost,21,17,,,,,Justin Shaytar,Kieran Rose,,Corey Weiss,Matt Spolarich,
Pool Play,Premier 5.0+,Pool G,3,Single game,Goblin giant,Last Place,Goblin giant,21,17,,,,,Kyan Kornfeld,Nickhil Anantha,,Ben Arauzo,Zayne Shields,
Pool Play,Premier 5.0+,Pool H,3,Single game,Lazy,Sawtooth Spikers,Lazy,21,9,,,,,Luke Marshall,Cade Larson,,Thomas Maloney,Dennis Joseph,
Pool Play,Premier 5.0+,Pool H,3,Single game,Royal Flush,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,17,21,,,,,Bryant Karratti,Jake LeBaron,,David Mitchell,Charlie Camarena,
Pool Play,Premier 5.0+,Pool I,3,Single game,"Depression, Cheez-Its, and Cargo Shorts",Big Dawgs,Big Dawgs,19,21,,,,,Taylor Church,Garrett Carver,,Caleb Cummings,Tyler Fernandez,
Pool Play,Premier 5.0+,Pool I,3,Single game,Hit Ball Hard,"Happenstance ",Hit Ball Hard,21,15,,,,,Adam Porter,Garrett Ashton,,Jalen Butkus,John Hickmott,
Pool Play,Premier 5.0+,Pool J,3,Single game,Chelsea United,BorderLine,BorderLine,17,21,,,,,Josh Fragiacomo,Ethan Zehr,,Kaleb Wagner,Trey Thompson,
Pool Play,Premier 5.0+,Pool J,3,Single game,Disordered,Couldn't Carry less,Disordered,21,13,,,,,Solomon Berry,Andrew Greer,,Slade Warner,Arrow Griner,
Pool Play,Premier 5.0+,Pool A,4,Single game,Judgment Day,Morgan/Mowry,Judgment Day,21,10,,,,,fredric hinkle,Gabriel Finocchi,,Dawson Morgan,Luke Mowry,
Pool Play,Premier 5.0+,Pool A,4,Single game,Bad Combo,TRP Mermaid Sparkle,Bad Combo,21,17,,,,,Rahul Murthy,Will Picone,,Noah Luskus,Christian Bennett,
Pool Play,Premier 5.0+,Pool B,4,Single game,Assistive Touch,Cigar Boys,Assistive Touch,23,21,,,,,Clark Marshall,Buddy Hammon,,Grant Laughlin,Dan Abrams,
Pool Play,Premier 5.0+,Pool B,4,Single game,TRP Spotless,Insystem,TRP Spotless,21,17,,,,,Joe Bondi,Ryan Gross,,Blake Bosak,Etienne Cote,
Pool Play,Premier 5.0+,Pool C,4,Single game,TRP Moneyline,Lanky and Clanky,TRP Moneyline,21,17,,,,,Ryder Rivadeneyra,Matthew Cole,,Grant Gouger,Jesse Lehn,
Pool Play,Premier 5.0+,Pool C,4,Single game,Edgerunners,here to slay,here to slay,19,21,,,,,Chase Meyer,Clifton Miller,,Dax O'Hair,bradley thompson,
Pool Play,Premier 5.0+,Pool D,4,Single game,Not.Ok,Moon Boys,Not.Ok,21,10,,,,,Xande Plaisted,Anthony Clifford,,Jordan Freitas,Conner Bradshaw,
Pool Play,Premier 5.0+,Pool D,4,Single game,Native Texans,Hot‘n‘cold,Native Texans,21,18,,,,,Dylan Bricker,Grayson M  Wills,,Trent Alderfer,Cody Brower,
Pool Play,Premier 5.0+,Pool E,4,Single game,Quality Service,Teenage Dirtbags,Quality Service,22,20,,,,,Jacob Payer,Andrew Kosche,,Taylor Sanford,Kannon Forbush,
