Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Contender 4.5+,Pool C,2,Single game,Cave Talk,IPausedMyGame2BeHere,Cave Talk,21,17,,,,,Ryan Juenger,Alex Perkins,,Gabe Gabrovsek,Thomas Metz`,
Pool Play,Contender 4.5+,Pool D,2,Single game,Get Milked,Brown Car,Get Milked,21,13,,,,,Drew Banziger,Izayah Gibson,,Tyler Brown,Carson Ledford,
Pool Play,Contender 4.5+,Pool D,2,Single game,Presidential,Sloppy sets,Presidential,21,18,,,,,Kevin Farrell,Ryan Lechner,,Braden Eaton,Xander Bunn,
Pool Play,Contender 4.5+,Pool E,2,Single game,Score check?,Speedy Snails,Score check?,21,18,,,,,Noah Johnson,Luke Hale,,Cameron Ohashi,Aman Khemka,
Pool Play,Contender 4.5+,Pool E,2,Single game,Too Much Sandwich,Bert & Ernie,Bert & Ernie,16,21,,,,,Sean Caufield,Joseph Motto,,Robert Porter,Diego Ramirez,
Pool Play,Contender 4.5+,Pool F,2,Single game,Tornado Cuts,Sons of Kenneth,Tornado Cuts,21,13,,,,,Ethan Gabay,John Putney,,Lance Martin,Drew Martin,
Pool Play,Contender 4.5+,Pool F,2,Single game,CRO Jabba the Cut,Pulchritudinous Callipygians,CRO Jabba the Cut,21,19,,,,,Trevor Fleming,vibhor dua,,Collin Wickramaratna,Nate Kunz,
Pool Play,Contender 4.5+,Pool G,2,Single game,TNT 🧨,Brezra,TNT 🧨,21,15,,,,,Zachary Troyer,Thomas Troyer,,Brendan Muggeridge,Ezra Campanelli,
Pool Play,Contender 4.5+,Pool G,2,Single game,Hamburger no meat,Hit It And Quit It,Hamburger no meat,21,12,,,,,Chris Hartings,Yanai Hamel-Sasson,,Eric Bartos,Jonathon Neel,
Pool Play,Contender 4.5+,Pool H,2,Single game,Green text messages,Spike’s Hard Lemonade,Green text messages,21,8,,,,,Andrew Felty,Nic Albornoz,,Tyler Bishop,Malachi Fruits,
Pool Play,Contender 4.5+,Pool H,2,Single game,Narayan/Pinsonneault,Zorbin,Narayan/Pinsonneault,21,17,,,,,Macy Pinsonneault,Jacob Narayan,,Korbin Thompson,Zach M,
Pool Play,Contender 4.5+,Pool H,2,Single game,MaxRizz,Ball Busters,Ball Busters,20,22,,,,,Caleb Schilling,Josh Schilling,,Jacob Ford,Ryan Poeppelman,
Pool Play,Contender 4.5+,Pool A,3,Single game,Closed on Sundays,Textbook,Closed on Sundays,21,16,,,,,Brooks Anderson,Ian Timan,,Mike Hamilton,dan savage,
Pool Play,Contender 4.5+,Pool A,3,Single game,Land Dolphins,Snow Angels,Land Dolphins,21,16,,,,,James Brock,Nathan Benjamin,,Mason Weaver,Jacob Pogan,
Pool Play,Contender 4.5+,Pool B,3,Single game,What the flick?,Martinumerable,Martinumerable,24,25,,,,,Joren Rudzitis,Taaron Rudzitis,,Marty Merigold,Jason Inumerable,
Pool Play,Contender 4.5+,Pool B,3,Single game,Ballbarians,The Cutlers,Ballbarians,21,18,,,,,Brent Summers,Isaiah Hillman,,Seth Cutler,Russell Cutler,
Pool Play,Contender 4.5+,Pool C,3,Single game,1more,Cave Talk,1more,21,13,,,,,Zak Kovatch,ty fields,,Ryan Juenger,Alex Perkins,
Pool Play,Contender 4.5+,Pool C,3,Single game,Renaissance,IPausedMyGame2BeHere,Renaissance,21,10,,,,,Rohil Senapati,Brandon Tice,,Gabe Gabrovsek,Thomas Metz`,
Pool Play,Contender 4.5+,Pool D,3,Single game,Get Milked,Presidential,Get Milked,21,13,,,,,Drew Banziger,Izayah Gibson,,Kevin Farrell,Ryan Lechner,
Pool Play,Contender 4.5+,Pool D,3,Single game,Bremner/Semke,Sloppy sets,Bremner/Semke,21,10,,,,,Wyatt Semke,Chase Bremner,,Braden Eaton,Xander Bunn,
Pool Play,Contender 4.5+,Pool E,3,Single game,Score check?,Too Much Sandwich,Score check?,22,20,,,,,Noah Johnson,Luke Hale,,Sean Caufield,Joseph Motto,
Pool Play,Contender 4.5+,Pool E,3,Single game,Bring out the whole ocean,Bert & Ernie,Bring out the whole ocean,24,22,,,,,Ian Lane,Declan Brown,,Robert Porter,Diego Ramirez,
Pool Play,Contender 4.5+,Pool F,3,Single game,Tornado Cuts,CRO Jabba the Cut,Tornado Cuts,25,24,,,,,Ethan Gabay,John Putney,,Trevor Fleming,vibhor dua,
Pool Play,Contender 4.5+,Pool F,3,Single game,Indecisive,Pulchritudinous Callipygians,Pulchritudinous Callipygians,24,25,,,,,DaRyan Hoover,Micah Wipf,,Collin Wickramaratna,Nate Kunz,
Pool Play,Contender 4.5+,Pool G,3,Single game,TNT 🧨,Hamburger no meat,TNT 🧨,21,18,,,,,Zachary Troyer,Thomas Troyer,,Chris Hartings,Yanai Hamel-Sasson,
Pool Play,Contender 4.5+,Pool G,3,Single game,"Blind Squirrel ",Hit It And Quit It,"Blind Squirrel ",21,11,,,,,Keith Fleischmann,Caleb Isbell,,Eric Bartos,Jonathon Neel,
Pool Play,Contender 4.5+,Pool H,3,Single game,Green text messages,MaxRizz,Green text messages,21,11,,,,,Andrew Felty,Nic Albornoz,,Caleb Schilling,Josh Schilling,
Pool Play,Contender 4.5+,Pool H,3,Single game,Narayan/Pinsonneault,Ball Busters,Narayan/Pinsonneault,21,18,,,,,Macy Pinsonneault,Jacob Narayan,,Jacob Ford,Ryan Poeppelman,
Pool Play,Contender 4.5+,Pool H,3,Single game,Zorbin,Spike’s Hard Lemonade,Zorbin,21,7,,,,,Korbin Thompson,Zach M,,Tyler Bishop,Malachi Fruits,
Pool Play,Contender 4.5+,Pool A,4,Single game,Land Dolphins,Textbook,Land Dolphins,21,16,,,,,James Brock,Nathan Benjamin,,Mike Hamilton,dan savage,
Pool Play,Contender 4.5+,Pool A,4,Single game,Blondeberry Fwango,Snow Angels,Blondeberry Fwango,25,23,,,,,David Aschenbrenner,Matt Aschenbrenner,,Mason Weaver,Jacob Pogan,
Pool Play,Contender 4.5+,Pool B,4,Single game,Ballbarians,Martinumerable,Martinumerable,18,21,,,,,Brent Summers,Isaiah Hillman,,Marty Merigold,Jason Inumerable,
